trialIndex	stimulus	isAnimate	left_option	right_option	response	response_time	xTrajectory	yTrajectory	tTrajectory
0	歌手	True	animate	inanimate	left	1.401	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -4.0, -13.0, -62.0, -94.0, -214.0, -305.0, -386.0, -459.0, -517.0, -559.0, -591.0, -619.0, -640.0, -657.0, -669.0, -686.0, -694.0, -697.0, -697.0, -698.0, -699.0, -702.0, -707.0, -719.0, -724.0, -740.0, -750.0, -756.0, -759.0, -759.0, -759.0]	[-490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -489.0, -478.0, -464.0, -405.0, -373.0, -235.0, -142.0, -66.0, -5.0, 52.0, 103.0, 143.0, 175.0, 200.0, 220.0, 235.0, 258.0, 270.0, 276.0, 276.0, 278.0, 281.0, 288.0, 298.0, 319.0, 327.0, 354.0, 373.0, 379.0, 386.0, 386.0, 386.0]	[0.00768835347116692, 0.02287698599684518, 0.03314905905426713, 0.04855068332108203, 0.06571597481524805, 0.08080015946325148, 0.09874198336183326, 0.11560929121333174, 0.13078563574526925, 0.14876978492975468, 0.16600573233881732, 0.1806103442213498, 0.198709522599529, 0.2157611502261716, 0.23073952167032985, 0.24886839601094835, 0.26594118628418073, 0.2806284007310751, 0.2986128912452841, 0.3155064817328821, 0.3307661115031806, 0.3488342285854742, 0.3659302294909139, 0.3806624998906045, 0.3985961318030604, 0.41538390907953726, 0.4307428667307249, 0.44891304235352436, 0.4659093740483513, 0.4806863590638386, 0.49860872698627645, 0.5155241627799114, 0.5328184781174059, 0.5489051575641497, 0.5659404012112645, 0.580652532975364, 0.5986052795269643, 0.6160279360410641, 0.6305871506483527, 0.6489372087307856, 0.6653440584632335, 0.6807688933695317, 0.6991209994448582, 0.7157230916054687, 0.7302546582504874, 0.7486924388867919, 0.7658785516905482, 0.7806715793485637, 0.7991131146482076, 0.8158251160202781, 0.8307014289166545, 0.8488139192777453, 0.8658812482171925, 0.8806551612360636, 0.8986082491173875, 0.9159298710947041, 0.9305829522563727, 0.9488951223756885, 0.9658996460639173, 0.9807083750420134, 0.9989017613042961, 1.0154386588837951, 1.0305737021335517, 1.0488735842736787, 1.0651435594991199, 1.0831096180336317, 1.099060788314091, 1.1155754992505535, 1.1306002919664024, 1.1489015394399757, 1.165910500450991, 1.1806318481976632, 1.1990935221401742, 1.2195038657591795, 1.2306210791430203, 1.2513232624114607, 1.2658032877807273, 1.2806249874047353, 1.2984493927797303, 1.3155965936239227, 1.3304500372105394, 1.3515744493124657]
1	乌鸦	True	inanimate	animate	right	1.043	[0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -3.0, -15.0, -37.0, -67.0, -118.0, -174.0, -207.0, -227.0, -230.0, -230.0, -200.0, -106.0, 122.0, 295.0, 468.0, 643.0, 796.0, 899.0, 948.0]	[-490.0, -490.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -491.0, -486.0, -455.0, -416.0, -360.0, -290.0, -207.0, -125.0, -74.0, -31.0, -1.0, 25.0, 64.0, 122.0, 200.0, 249.0, 300.0, 349.0, 392.0, 422.0, 435.0]	[0.010067955961858388, 0.01848317791154841, 0.024632631895656232, 0.037183784901571926, 0.05405484741640976, 0.06915336804377148, 0.08699108540167799, 0.10374814271199284, 0.11907774573046481, 0.13777152606780874, 0.15415994382055942, 0.16937690697523067, 0.18728323224786436, 0.20409285483765416, 0.2188367305570864, 0.23750968957756413, 0.2546954610515968, 0.26935434486949816, 0.287193427560851, 0.3037224744766718, 0.3192770158930216, 0.33715227987704566, 0.3540837583132088, 0.3689013619441539, 0.3878320273288409, 0.40380197091872105, 0.419416245596949, 0.4371853550328524, 0.4545759262618958, 0.469120122215827, 0.48744458032160765, 0.5037756541496492, 0.5196008725761203, 0.537590483087115, 0.5542133965573157, 0.5691235014091944, 0.5875793726954726, 0.6043043447134551, 0.6192980761334184, 0.6376809021749068, 0.6570870443247259, 0.6691425819226424, 0.6877346450419282, 0.704323425226903, 0.7194707564631244, 0.7376248894433957, 0.756708130647894, 0.7686936949903611, 0.7874885098717641, 0.8047916998693836, 0.8190775067996583, 0.8370503919941257, 0.8539337424954283, 0.8688953886157833, 0.8883537547080778, 0.9039280934302951, 0.9219289679240319, 0.9375060373204178, 0.9551010669674724, 0.969314169982681, 0.987652964075096, 1.00382668342354]
2	厨师	True	inanimate	animate	right	0.896	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 17.0, 30.0, 109.0, 192.0, 303.0, 428.0, 543.0, 652.0, 754.0, 831.0, 863.0]	[-490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -486.0, -478.0, -439.0, -413.0, -279.0, -175.0, -29.0, 139.0, 259.0, 343.0, 402.0, 433.0, 446.0]	[0.009095498462556861, 0.015898946337983944, 0.02072675923409406, 0.034643243947357405, 0.05158974102960201, 0.06617114227992715, 0.084708933463844, 0.10140557485283352, 0.11638087429309962, 0.13457084722904256, 0.15134019253309816, 0.16644588115013903, 0.18640873730328167, 0.20118606364849256, 0.21674094640184194, 0.23470837026980007, 0.2533424173379899, 0.2664417510241037, 0.2864677537654643, 0.3012481521072914, 0.31929715454316465, 0.3345963789324742, 0.3525525388176902, 0.36641236225841567, 0.38558537401695503, 0.4012037446955219, 0.418884107573831, 0.4345656248406158, 0.4521794277970912, 0.46650005068659084, 0.4857614676730009, 0.50127129448083, 0.5170739849345409, 0.5346304439590313, 0.5513943279365776, 0.5663457340706373, 0.5847265121119563, 0.6011961671028985, 0.6164066449346137, 0.6346341644893982, 0.6513553818440414, 0.6664528784749564, 0.6846145207819063, 0.7012589382284204, 0.7164421094203135, 0.7345085198394372, 0.7512618224936887, 0.7664306577062234, 0.7845503160569933, 0.8012568560952786, 0.8164448059542337, 0.8347993013594532, 0.8511430044964072, 0.8669098549944465, 0.88460284719622]
3	记者	True	animate	inanimate	left	0.852	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, -1.0, -16.0, -61.0, -184.0, -303.0, -368.0, -560.0, -671.0, -751.0, -774.0, -777.0]	[-490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -485.0, -470.0, -434.0, -344.0, -120.0, 100.0, 191.0, 434.0, 540.0, 540.0, 540.0, 540.0]	[0.008584352413890883, 0.013465071911923587, 0.02004904271598207, 0.036103295533393975, 0.049925572355277836, 0.06565316956402967, 0.08314375134068541, 0.10041417337197345, 0.11544545141077833, 0.1336470296664629, 0.15026311648398405, 0.16542956236662576, 0.18350006877881242, 0.199973478433094, 0.2151153483428061, 0.23392210987367434, 0.25030711430008523, 0.2654343068934395, 0.28347545867291046, 0.2999075670450111, 0.315090055570181, 0.3332260979077546, 0.35041733070102055, 0.3654195954441093, 0.383514336492226, 0.3999211862246739, 0.4154719729849603, 0.43363702861825004, 0.45035790463589365, 0.4654431132803438, 0.4834852890635375, 0.5004133541733609, 0.5154623815251398, 0.5346736225765198, 0.5507319713942707, 0.5649904716919991, 0.5835002735766466, 0.5998671873603598, 0.6154200221135397, 0.6338915947126225, 0.650229153856344, 0.6648607310489751, 0.6833084103418514, 0.7009918452167767, 0.715345918732055, 0.7331324361512088, 0.7502342397201573, 0.765126595259062, 0.7836906690863543, 0.8004296357539715, 0.8155530736839864]
4	医生	True	inanimate	animate	right	0.875	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -3.0, -6.0, -8.0, -8.0, -9.0, -9.0, 41.0, 74.0, 229.0, 367.0, 512.0, 661.0, 813.0, 950.0]	[-490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -489.0, -487.0, -486.0, -485.0, -481.0, -474.0, -469.0, -462.0, -457.0, -442.0, -415.0, -306.0, -252.0, -81.0, 50.0, 175.0, 280.0, 368.0, 426.0]	[0.013010075119382236, 0.018886804100475274, 0.02376581693533808, 0.042752460918563884, 0.05886747100157663, 0.07431756454752758, 0.09219760718406178, 0.10921373619203223, 0.12396170790452743, 0.14234760593535611, 0.15887221552839037, 0.1742086452068179, 0.19222249035374261, 0.20927616598055465, 0.22394904445536667, 0.2425923075134051, 0.2588718400656944, 0.2744315014788299, 0.2922559068465489, 0.3091218493646011, 0.32398758093768265, 0.34248509484314127, 0.3588513259528554, 0.37441167003271403, 0.39222447008796735, 0.40921738844917854, 0.4239964214648353, 0.4428134229819989, 0.45874411328259157, 0.4744959451345494, 0.4927528193220496, 0.5091135891052545, 0.5238595128248562, 0.5453771404500003, 0.5587389591528336, 0.5779590748643386, 0.5925118041413953, 0.609548754458956, 0.623763905474334, 0.6423375366139226, 0.658698647741403, 0.6766077036736533, 0.6921008051649551, 0.7097221174481092, 0.7237338340419228, 0.7428781738344696, 0.7593584101487068, 0.7743494109090534, 0.7920837043857318, 0.8090684307608171, 0.8239945782625, 0.8432542885857401]
5	海鸥	True	inanimate	animate	right	0.85	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 8.0, 16.0, 41.0, 130.0, 174.0, 355.0, 486.0, 633.0, 776.0, 889.0, 959.0]	[-490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -487.0, -482.0, -473.0, -451.0, -410.0, -278.0, -205.0, 23.0, 154.0, 277.0, 364.0, 416.0, 438.0]	[0.010767347128421534, 0.015117293936782517, 0.021747344682808034, 0.039115729261538945, 0.0543367884165491, 0.07091566993767628, 0.08846325430931756, 0.10520017298404127, 0.12030688560480485, 0.1381135416595498, 0.15479891905852128, 0.17268749502545688, 0.18864344396570232, 0.20530800005508354, 0.21970883618632797, 0.23939487132884096, 0.2546568904290325, 0.2702042638557032, 0.28830105290398933, 0.30557147493527737, 0.3199501244307612, 0.3381274680432398, 0.35476881350041367, 0.37071042645402486, 0.3880743737099692, 0.40552809152723057, 0.41991015434177825, 0.43895072893064935, 0.4548080326494528, 0.4709363547153771, 0.48943147929094266, 0.5052611350402003, 0.5197708563719061, 0.5385929778858554, 0.5553261418972397, 0.5706782728884718, 0.5887119153485401, 0.6066943578625796, 0.6196923156676348, 0.6380799203689094, 0.6547792924175155, 0.6701839886809466, 0.6880476473379531, 0.7050818669886212, 0.7199250705889426, 0.7380583822596236, 0.754682319733547, 0.7702259384968784, 0.788182439711818, 0.8049715823217412, 0.8200864869286306, 0.8384539529870381]
6	酒精	False	inanimate	animate	left	0.92	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -5.0, -18.0, -49.0, -115.0, -227.0, -389.0, -491.0, -539.0, -675.0, -724.0, -751.0, -758.0]	[-490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -486.0, -480.0, -463.0, -433.0, -365.0, -230.0, -52.0, 172.0, 293.0, 348.0, 466.0, 501.0, 518.0, 522.0]	[0.011525788897415623, 0.01749877375550568, 0.022723215515725315, 0.03796270664315671, 0.05492592904192861, 0.0697186153702205, 0.08828985718719196, 0.10460727769532241, 0.11999968597228872, 0.13781385135371238, 0.154972998854646, 0.16959467739070533, 0.18820756181958131, 0.20465537150448654, 0.2199730278662173, 0.23796195571048884, 0.25492961543932324, 0.26989706422318704, 0.2882655542853172, 0.3065767004081863, 0.3199610470837797, 0.33965834621631075, 0.35491797598660924, 0.3709759834673605, 0.38807983503647847, 0.4053980436801794, 0.4200477115155081, 0.43822437246126356, 0.45495787780964747, 0.46983760403236374, 0.48798217968578683, 0.5067636825842783, 0.519719997770153, 0.5391804118553409, 0.5544591562720598, 0.5723798175240518, 0.588945728399267, 0.6048255600981065, 0.6199827899908996, 0.6408436930651078, 0.6545092980741174, 0.670163508708356, 0.6884555401848047, 0.7051170242848457, 0.7199888998511597, 0.740309472908848, 0.7548779035059852, 0.7730859670846257, 0.7883025889022974, 0.8071185664230143, 0.819882369840343, 0.8399851724971086, 0.8550253251960385, 0.873116994247539, 0.8876263742422452, 0.904930929573311]
7	麻将	False	animate	inanimate	right	1.02	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -7.0, -13.0, -23.0, -37.0, -61.0, -99.0, -128.0, -139.0, -139.0, -107.0, -79.0, 58.0, 180.0, 312.0, 472.0, 644.0, 818.0, 955.0]	[-490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -489.0, -483.0, -477.0, -458.0, -441.0, -419.0, -387.0, -347.0, -297.0, -256.0, -237.0, -212.0, -131.0, -98.0, 26.0, 114.0, 201.0, 283.0, 359.0, 415.0, 453.0]	[0.0007918923802208155, 0.006045006106432993, 0.017635989592236, 0.03461047598102596, 0.0524993932704092, 0.06694255468755728, 0.08569538561278023, 0.1014653081074357, 0.117368009108759, 0.13527638238156214, 0.15253554043010809, 0.16685821131977718, 0.18740406410506694, 0.20203188663435867, 0.2197627667846973, 0.23525996426906204, 0.25440089073526906, 0.26677728128561284, 0.2864541004455532, 0.3020680337867816, 0.3193524504749803, 0.33531249540828867, 0.35199172881402774, 0.3664028049315675, 0.3849767774081556, 0.40198266642255476, 0.41951659747428494, 0.4347755445778603, 0.45179099091910757, 0.4665676345975953, 0.48483474877866684, 0.5024710797079024, 0.5167841932707233, 0.5348116917375592, 0.5517421461772756, 0.5669338506922941, 0.5857627988661989, 0.60149415073829, 0.6168507190595847, 0.6358182484036661, 0.6539778427104466, 0.6664511718045105, 0.6849814536690246, 0.7026495285608689, 0.7168288396205753, 0.7352621829340933, 0.7516215873911278, 0.766514284267032, 0.7851240966992918, 0.802559382536856, 0.8168653281099978, 0.835991577259847, 0.8517475051048677, 0.8689008499422926, 0.8848335882430547, 0.9021275622508256, 0.9168850912901689, 0.9353754371986724, 0.9516522390840692, 0.9671385139154154, 0.9851666950489744]
8	鲨鱼	True	animate	inanimate	left	0.859	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, -4.0, -12.0, -42.0, -88.0, -158.0, -247.0, -342.0, -497.0, -598.0, -673.0, -722.0, -751.0, -760.0, -760.0]	[-490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -490.0, -489.0, -487.0, -487.0, -485.0, -485.0, -484.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -483.0, -475.0, -460.0, -433.0, -365.0, -242.0, -122.0, 8.0, 133.0, 293.0, 376.0, 433.0, 468.0, 489.0, 495.0, 495.0]	[0.009916062823322136, 0.017269739371840842, 0.021757243339379784, 0.036842110654106364, 0.053030848648631945, 0.06856115542905172, 0.08640979543997673, 0.10331567390676355, 0.11800254702393431, 0.13652975689183222, 0.15335610479087336, 0.1681436711223796, 0.18656779844604898, 0.20299273882847046, 0.21834486981970258, 0.23694580759911332, 0.25358749437873485, 0.2680586450951523, 0.2866913268371718, 0.30293058209645096, 0.318422659591306, 0.3373922369282809, 0.353193220718822, 0.3679838590469444, 0.3868015432381071, 0.40575541925500147, 0.4182850682918797, 0.43837558295490453, 0.45328534647705965, 0.46832857117260573, 0.48662230931950035, 0.5035029291466344, 0.5185096312197857, 0.5372197955366573, 0.5533341229529469, 0.5685012514950358, 0.5864215714245802, 0.6030963675002567, 0.6183856932329945, 0.6366248181147967, 0.6531262170683476, 0.6682643323147204, 0.68643109461118, 0.7028802696295315, 0.7181788113521179, 0.7374412523349747, 0.7530613296767115, 0.7709485403102008, 0.786537556348776, 0.8037789650843479, 0.8184975821714033, 0.8372036504879361, 0.8531595994281815]
9	面包	False	animate	inanimate	right	0.895	[0.0, -1.0, -2.0, -2.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -6.0, -6.0, -6.0, -9.0, -9.0, -9.0, -9.0, -9.0, -9.0, -9.0, -9.0, -9.0, -9.0, -7.0, -6.0, -6.0, -8.0, -16.0, -24.0, -29.0, -39.0, -41.0, -35.0, 35.0, 129.0, 192.0, 416.0, 595.0, 768.0, 916.0, 959.0, 959.0]	[-490.0, -491.0, -491.0, -491.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -492.0, -491.0, -491.0, -492.0, -500.0, -509.0, -509.0, -509.0, -509.0, -509.0, -509.0, -510.0, -512.0, -511.0, -505.0, -500.0, -494.0, -464.0, -424.0, -407.0, -362.0, -309.0, -240.0, -77.0, 38.0, 92.0, 248.0, 350.0, 433.0, 494.0, 526.0, 537.0]	[0.012588528967171442, 0.01869326833548257, 0.022826810069091152, 0.041783075423154514, 0.058450703509151936, 0.07320652587804943, 0.0912377790082246, 0.10853004634554964, 0.1228158532831003, 0.14160588949744124, 0.15838957078085514, 0.17343893946963362, 0.1912077075758134, 0.2104773165556253, 0.22323019731993554, 0.24188370036426932, 0.25784749996091705, 0.2746349359076703, 0.29216477096633753, 0.30809443727048347, 0.32284275031270226, 0.3432148646461428, 0.35839359850797337, 0.37359417768311687, 0.39179916926514124, 0.40841628007910913, 0.42286387881904375, 0.44235569553711684, 0.4583747910655802, 0.47327192527154693, 0.49238076643814566, 0.508174240902008, 0.5229187992881634, 0.5413166439757333, 0.5588297537251492, 0.573394429658947, 0.5914181734551676, 0.6078243405208923, 0.6230853356246371, 0.6422767793628736, 0.6584733680138015, 0.6745037275322829, 0.6913959526864346, 0.7085073135749553, 0.7232371946447529, 0.7418190177777433, 0.7580251637482434, 0.7729315139440587, 0.7909972416891833, 0.8081751625068136, 0.8232115605424042, 0.8414049468046869, 0.8579964576492785, 0.8732813460592297, 0.8912368232704466]
